Rank,Journal,Total Cites,Journal Impact Factor,Eigenfactor Score
153,ADVANCED FUNCTIONAL MATERIALS,"78,965",13.325,0.163070
154,Annual Review of Pharmacology and Toxicology,"7,827",13.295,0.010500
155,Annual Review of Clinical Psychology,"4,926",13.278,0.010550
155,Annual Review of Clinical Psychology,"4,926",13.278,0.010550
157,JOURNAL OF ALLERGY AND CLINICAL IMMUNOLOGY,"49,229",13.258,0.083800
158,JOURNAL OF CLINICAL INVESTIGATION,"107,818",13.251,0.165270
159,PSYCHOLOGICAL BULLETIN,"47,657",13.250,0.025950
159,PSYCHOLOGICAL BULLETIN,"47,657",13.250,0.025950
161,GENOME BIOLOGY,"34,697",13.214,0.118500
162,Materials Horizons,"2,883",13.183,0.008670
163,PSYCHOTHERAPY AND PSYCHOSOMATICS,"3,597",13.122,0.005520
163,PSYCHOTHERAPY AND PSYCHOSOMATICS,"3,597",13.122,0.005520
165,Nano Energy,"23,023",13.120,0.060880
166,Applied Physics Reviews,"1,582",12.894,0.006410
167,MMWR-MORBIDITY AND MORTALITY WEEKLY REPORT,"24,208",12.888,0.091830
168,Annual Review of Marine Science,"3,288",12.867,0.009580
169,Living Reviews in Solar Physics,"1,134",12.833,0.003560
170,Alzheimers & Dementia,"10,423",12.740,0.030040
171,INTERNATIONAL MATERIALS REVIEWS,"4,577",12.703,0.005260
172,Journal of Cachexia Sarcopenia and Muscle,"2,207",12.511,0.005180
173,Advanced Science,"4,030",12.441,0.012110
174,Nature Protocols,"36,821",12.423,0.086550
175,Bone Research,977,12.354,0.002400
176,Nature Communications,"178,348",12.353,0.926560
177,ANNALS OF THE RHEUMATIC DISEASES,"41,994",12.350,0.081020
178,ACS Energy Letters,"3,282",12.277,0.009210
179,EUROPEAN RESPIRATORY JOURNAL,"36,506",12.242,0.056610
180,TRENDS IN PLANT SCIENCE,"18,864",12.149,0.025770
181,TRENDS IN PHARMACOLOGICAL SCIENCES,"11,806",12.108,0.018470
182,ANGEWANDTE CHEMIE-INTERNATIONAL EDITION,"302,685",12.102,0.571500
183,NANO LETTERS,"153,533",12.080,0.331560
184,BIOLOGICAL PSYCHIATRY,"42,494",11.982,0.056910
185,HUMAN REPRODUCTION UPDATE,"8,378",11.852,0.013900
186,TRENDS IN MICROBIOLOGY,"11,344",11.776,0.020970
187,Annual Review of Biophysics,"2,721",11.742,0.009390
188,BIOLOGICAL REVIEWS,"11,139",11.700,0.017280
189,APPLIED CATALYSIS B-ENVIRONMENTAL,"58,730",11.698,0.071290
190,PLOS MEDICINE,"24,232",11.675,0.058710
191,PROGRESS IN RETINAL AND EYE RESEARCH,"5,926",11.653,0.010480
192,MOLECULAR PSYCHIATRY,"18,460",11.640,0.047200
193,STUDIES IN MYCOLOGY,"2,777",11.633,0.004140
194,DRUG RESISTANCE UPDATES,"2,716",11.630,0.003910
195,JOURNAL OF PINEAL RESEARCH,"9,079",11.613,0.008600
196,ASTRONOMY AND ASTROPHYSICS REVIEW,"1,752",11.611,0.005310
197,NUCLEIC ACIDS RESEARCH,"168,962",11.561,0.402470
198,INTERNATIONAL JOURNAL OF COMPUTER VISION,"16,572",11.541,0.025040
199,Science Advances,"10,194",11.511,0.057080
200,Nature Plants,"2,284",11.471,0.012240
201,JAMA Neurology,"6,885",11.460,0.035270
202,BIOTECHNOLOGY ADVANCES,"15,722",11.452,0.021940
203,TRENDS IN NEUROSCIENCES,"20,061",11.439,0.026860
204,NATURAL PRODUCT REPORTS,"9,973",11.406,0.016090
205,FEMS MICROBIOLOGY REVIEWS,"11,237",11.392,0.016410
206,Annual Review of Earth and Planetary Sciences,"7,379",11.391,0.009900
207,ACS Catalysis,"39,650",11.384,0.118510
208,Lancet HIV,"1,476",11.355,0.007950
209,JNCI-Journal of the National Cancer Institute,"37,933",11.238,0.052550
210,ACS Central Science,"2,106",11.228,0.009440
211,Autophagy,"14,923",11.100,0.035510
212,PROGRESS IN PARTICLE AND NUCLEAR PHYSICS,"3,108",11.049,0.006130
213,TRENDS IN MOLECULAR MEDICINE,"9,213",11.021,0.019720
214,BRAIN,"52,061",10.840,0.075170
215,JOURNAL OF EXPERIMENTAL MEDICINE,"62,537",10.790,0.078310
216,JAMA Pediatrics,"5,870",10.769,0.033730
216,TRENDS IN ENDOCRINOLOGY AND METABOLISM,"8,362",10.769,0.019900
218,PROGRESS IN QUANTUM ELECTRONICS,"1,122",10.733,0.001340
219,Lancet Haematology,"1,307",10.698,0.007350
220,EUROPEAN JOURNAL OF HEART FAILURE,"11,113",10.683,0.027560
221,SLEEP MEDICINE REVIEWS,"6,080",10.602,0.010720
222,EMBO JOURNAL,"67,036",10.557,0.079780
223,TRENDS IN GENETICS,"11,805",10.556,0.023020
224,IEEE Industrial Electronics Magazine,"1,394",10.429,0.003680
225,PHARMACOLOGY & THERAPEUTICS,"14,319",10.376,0.022310
226,Journal of Thoracic Oncology,"15,010",10.336,0.033280
227,EMBO Molecular Medicine,"6,402",10.293,0.026160
228,JACC-Cardiovascular Imaging,"8,104",10.247,0.026360
229,ANNALS OF NEUROLOGY,"37,251",10.244,0.053390
230,AMERICAN JOURNAL OF GASTROENTEROLOGY,"33,483",10.231,0.050130
231,MOLECULAR BIOLOGY AND EVOLUTION,"44,664",10.217,0.101560
232,Dialogues in Human Geography,518,10.214,0.001790
233,CLINICAL CANCER RESEARCH,"81,859",10.199,0.132210
234,SEMINARS IN CANCER BIOLOGY,"6,330",10.198,0.010740
235,Annual Review of Ecology Evolution and Systematics,"19,458",10.160,0.010980
236,JAMA Cardiology,"1,650",10.133,0.008630
237,GENOME RESEARCH,"38,842",10.101,0.105060
238,LEUKEMIA,"25,265",10.023,0.059580
239,CURRENT OPINION IN CELL BIOLOGY,"13,339",10.015,0.027790
240,GENETICS IN MEDICINE,"8,825",9.937,0.028650
241,Journal of Materials Chemistry A,"93,815",9.931,0.239820
